Feature,Chi2_Score,P_Value
drills,6.254791864391457,0.9972496515462378
charity,6.2547544656847425,0.9972497627322576
thrown,6.25394969770307,0.9972521544350187
custom,6.253941923029156,0.9972521775326323
teammates,6.253358824897759,0.99725390940684
negotiate,6.252636418838027,0.9972560538398468
myth,6.252180334767613,0.9972574070214203
jihad,6.2520946691498525,0.9972576611284085
contributors,6.252041426941129,0.9972578190495209
continue,6.252038160364514,0.9972578287382415
coca,6.250384935238305,0.9972627287417328
emulators,6.24996613692867,0.9972639689151347
allegations,6.249748966558844,0.997264611838631
img,6.249463696155165,0.9972654561868827
bk,6.24894796861801,0.9972669821203858
awarded,6.248380416647985,0.9972686606096587
2001,6.247925822802612,0.9972700044433527
stoning,6.2477565056105675,0.9972705048308591
subsidies,6.247195130652233,0.997272163355406
outbreak,6.245843970593822,0.9972761519348786
sad,6.245575624453878,0.9972769435317194
tracked,6.245387574850167,0.9972774981520643
certificate,6.245313893625781,0.9972777154378285
tamu,6.24521062731987,0.9972780199467335
foxx,6.245123613963683,0.9972782765083593
gotta,6.245093409151184,0.9972783655637075
intermarriage,6.2443683964685555,0.9972805024836632
15ms,6.243934470250899,0.9972817808102045
604,6.243869936580994,0.9972819708826008
scandal,6.243334806074995,0.9972835466069152
